fecha;pais;casos_mes;muertes_mes;incicencia_media_mes
5/2020;Montenegro;2;2;0.6843760377419355
4/2020;Montenegro;231;6;20.37453135366667
3/2020;Montenegro;91;1;1.04471039
11/2020;Netherlands;171721;1978;565.2381551586208
10/2020;Netherlands;223554;951;463.8530414903226
9/2020;Netherlands;47349;169;90.70604568566667
8/2020;Netherlands;16108;75;37.12703576903226
7/2020;Netherlands;3740;33;7.483382274516129
6/2020;Netherlands;3966;156;12.312116254666668
5/2020;Netherlands;7455;1240;26.653249737741934
4/2020;Netherlands;27052;3847;78.47628795133333
3/2020;Netherlands;11748;864;15.338395151935483
2/2020;Netherlands;2;0;0.0005985841379310345
11/2020;North_Macedonia;30275;717;640.0768646103448
10/2020;North_Macedonia;12662;245;201.39431709419355
9/2020;North_Macedonia;3859;153;79.494225692
8/2020;North_Macedonia;3304;104;80.88385890354839
7/2020;North_Macedonia;4399;182;96.80997489903226
6/2020;North_Macedonia;4060;167;74.55311779033333
5/2020;North_Macedonia;722;58;14.81416094
4/2020;North_Macedonia;1157;66;25.475832381
3/2020;North_Macedonia;284;7;4.492645716818182
2/2020;North_Macedonia;1;0;0.0049803424137931035
11/2020;Norway;15184;46;129.44498919896552
10/2020;Norway;5775;8;37.20245753096774
9/2020;Norway;3245;10;24.160700313
8/2020;Norway;1371;9;10.402327544193549
7/2020;Norway;317;6;2.781905195483871
6/2020;Norway;444;13;3.7342107766666666
5/2020;Norway;744;34;8.957189851612902
4/2020;Norway;3441;176;40.56833073966666
3/2020;Norway;4220;26;22.300648068387098
2/2020;Norway;6;0;0.007118904827586207
11/2020;Poland;632759;11395;773.0653583827586
10/2020;Poland;250872;2868;188.12865883677418
9/2020;Poland;23092;450;24.565382903
8/2020;Poland;21839;324;23.88712456419355
7/2020;Poland;10877;265;11.46830713935484
6/2020;Poland;10583;383;13.823311268333333
5/2020;Poland;10931;437;12.757174961290323
4/2020;Poland;10585;593;11.557040688333334
3/2020;Poland;2055;31;1.2647713065384616
11/2020;Portugal;153434;1895;661.8188281931034
10/2020;Portugal;62555;505;196.75924041387097
9/2020;Portugal;16949;144;65.56113424
8/2020;Portugal;6900;92;27.68640503451613
7/2020;Portugal;8956;159;43.47671499129032
6/2020;Portugal;9709;172;41.330397606333335
5/2020;Portugal;7511;407;37.38019384064516
4/2020;Portugal;18284;849;87.49539529100001
3/2020;Portugal;6408;140;12.737990359310345
11/2020;Romania;230396;4178;520.7070332655172
10/2020;Romania;110172;2075;202.7973173419355
9/2020;Romania;38629;1214;89.262685916
8/2020;Romania;37194;1274;85.68539404354838
7/2020;Romania;23009;670;41.10006490322581
6/2020;Romania;7449;381;15.629417347333334
5/2020;Romania;7155;578;18.937998049677418
4/2020;Romania;10026;631;21.693798164666664
3/2020;Romania;1949;44;2.0578336068965517
2/2020;Romania;3;0;0.0008880689655172413
11/2020;Russia;669340;11871;202.63969548275864
10/2020;Russia;432171;7111;114.23916929580645
9/2020;Russia;177479;3452;51.78197234666666
8/2020;Russia;155827;3291;49.95712046
7/2020;Russia;193343;4636;62.78069106677419
6/2020;Russia;244581;4611;81.63075922133334
5/2020;Russia;297176;3583;86.03700870387097
4/2020;Russia;97563;962;19.538190468666667
3/2020;Russia;1834;10;0.20917550193548387
2/2020;Russia;2;0;0.0006618910344827585
11/2020;San_Marino;658;3;817.3053344931034
10/2020;San_Marino;201;0;133.32796525870967
9/2020;San_Marino;17;0;19.930533383333334
8/2020;San_Marino;11;0;14.41889512
7/2020;San_Marino;1;0;2.6216172932258064
6/2020;San_Marino;27;0;46.343327626666664
5/2020;San_Marino;108;1;220.68399867999997
4/2020;San_Marino;334;16;428.11946710666666
3/2020;San_Marino;228;25;241.391654326
2/2020;San_Marino;1;0;0.20017274896551723
11/2020;Serbia;117898;670;561.1823403999999
10/2020;Serbia;11658;65;39.3507063483871
9/2020;Serbia;2114;38;16.201487202333333
8/2020;Serbia;6152;146;51.66329125258064
7/2020;Serbia;10925;291;61.65279062870968
6/2020;Serbia;2907;32;14.145128027
5/2020;Serbia;2657;69;25.370502727096774
4/2020;Serbia;7939;157;45.696551463
3/2020;Serbia;785;16;2.441861248636364
11/2020;Slovakia;49541;586;488.8176654551724
10/2020;Slovakia;45517;167;268.7392286806451
9/2020;Slovakia;5698;12;35.015032172333335
8/2020;Slovakia;1611;5;10.613563080322582
7/2020;Slovakia;600;0;4.103855818387097
6/2020;Slovakia;144;0;0.8372441936666667
5/2020;Slovakia;130;6;2.1383373335483875
4/2020;Slovakia;1055;22;8.903899349666666
3/2020;Slovakia;336;0;1.7835013720833333
11/2020;Slovenia;41754;688;1007.294030775862
10/2020;Slovenia;27023;87;350.48905759225806
9/2020;Slovenia;2622;10;46.16574431233333
8/2020;Slovenia;726;11;13.435512053225807
7/2020;Slovenia;554;6;10.724226651612904
6/2020;Slovenia;112;3;1.4961417476666667
5/2020;Slovenia;55;19;2.412098390645161
4/2020;Slovenia;655;78;19.467463241333334
3/2020;Slovenia;763;11;10.283972188846153
11/2020;Spain;442530;8790;525.5196305321429
10/2020;Spain;416490;4087;359.4355587516129
9/2020;Spain;306330;2697;284.29191488000004
8/2020;Spain;174336;649;130.35211752580645
7/2020;Spain;39251;90;24.98582762354839
6/2020;Spain;9842;1228;11.382121788333333
5/2020;Spain;24246;2584;30.605501453870968
4/2020;Spain;110916;17203;145.92967688933334
3/2020;Spain;104213;7340;54.86839802870968
2/2020;Spain;54;0;0.009991368965517241
11/2020;Sweden;114087;678;489.30217040689655
10/2020;Sweden;35894;150;98.61613356548386
9/2020;Sweden;8914;53;32.546169334
8/2020;Sweden;7552;70;34.422169422258065
7/2020;Sweden;9622;247;67.33331391967742
6/2020;Sweden;28669;854;118.48726751000001
5/2020;Sweden;17423;1751;77.63741919516129
4/2020;Sweden;16608;2544;63.82647690766667
3/2020;Sweden;4349;334;10.149281978387096
2/2020;Sweden;11;0;0.005730166896551724
11/2020;Switzerland;163289;2201;1045.6982056689656
10/2020;Switzerland;100977;254;297.96473718225803
9/2020;Switzerland;10845;57;58.28916373333333
8/2020;Switzerland;6973;21;31.21938039548387
7/2020;Switzerland;3364;22;14.453318972258064
6/2020;Switzerland;807;25;3.550810945666667
5/2020;Switzerland;1438;249;12.795211749032259
4/2020;Switzerland;13912;1112;107.46099033700001
3/2020;Switzerland;15400;295;45.12301719419355
2/2020;Switzerland;12;0;0.00887844
11/2020;Turkey;114758;3196;51.84106973793103
10/2020;Turkey;55882;2047;28.552700200645162
9/2020;Turkey;48726;1804;27.222369790333335
8/2020;Turkey;38655;652;19.519453576451614
7/2020;Turkey;31278;559;18.71382688451613
6/2020;Turkey;35510;600;19.112631764666666
5/2020;Turkey;45514;1434;31.927638773870967
4/2020;Turkey;106762;2913;54.046994182000006
3/2020;Turkey;10827;168;2.4866708955555556
11/2020;Ukraine;314678;4868;310.2445098
10/2020;Ukraine;173797;2976;154.78753924096773
9/2020;Ukraine;85858;1538;82.38705457266666
8/2020;Ukraine;50280;854;44.50386381483871
7/2020;Ukraine;25166;526;25.34633059
6/2020;Ukraine;20424;451;18.313782287666665
5/2020;Ukraine;13338;446;14.086712629354839
4/2020;Ukraine;9386;239;7.2300597306666665
3/2020;Ukraine;480;11;0.19838724888888887
11/2020;United_Kingdom;615427;11801;472.1665131241379
10/2020;United_Kingdom;543589;4157;293.71923437741935
9/2020;United_Kingdom;111689;573;58.13690271633333
8/2020;United_Kingdom;32166;330;18.872971303225803
7/2020;United_Kingdom;18760;828;13.328070681290324
6/2020;United_Kingdom;29151;2956;25.434060319666667
5/2020;United_Kingdom;87240;11336;71.18015275645162
4/2020;United_Kingdom;137469;23999;86.56444108233333
3/2020;United_Kingdom;29651;2050;9.36511794419355
2/2020;United_Kingdom;30;0;0.00962351172413793
